name, id, father_name, mother_name, grand_father_name
オジュウチョウサン, 2011101125, ステイゴールド, シャドウシルエット, シンボリクリスエス
タイトルホルダー, 2018103559, ドゥラメンテ, メーヴェ, Motivator
オメガパフューム, 2015104273, スウェプトオーヴァーボード, オメガフレグランス, ゴールドアリュール
エフフォーリア, 2018105027, エピファネイア, ケイティーズハート, ハーツクライ
チュウワウィザード, 2015104879, キングカメハメハ, チュウワブロッサム, デュランダル
マカヒキ, 2013105788, ディープインパクト, ウィキウィキ, フレンチデピュティ
ノンコノユメ, 2012104314, トワイニング, ノンコ, アグネスタキオン
デアリングタクト, 2017100720, エピファネイア, デアリングバード, キングカメハメハ
ディープボンド, 2017102170, キズナ, ゼフィランサス, キングヘイロー
ソダシ, 2018105233, クロフネ, ブチコ, キングカメハメハ
エアスピネル, 2013105399, キングカメハメハ, エアメサイア, サンデーサイレンス
レシステンシア, 2017105563, ダイワメジャー, マラコスタムブラダ, Lizard Island
アマゾンオペラ, 1991108735, グランドオペラ, クインモバリ, モバリッズ
サンライズノヴァ, 2014106474, ゴールドアリュール, ブライトサファイヤ, サンダーガルチ
クリンチャー, 2014100656, ディープスカイ, ザフェイツ, ブライアンズタイム
サリオス, 2017105327, ハーツクライ, サロミナ, Lomitas
フジノウェーブ, 2002102938, ブラックタイアフェアー, インキュラブルロマンティック, Stop the Music
ドウデュース, 2019105283, ハーツクライ, ダストアンドダイヤモンズ, Vindication
メイショウダッサイ, 2013104138, スズカマンボ, スズカブルーム, スキャターザゴールド
レイパパレ, 2017105335, ディープインパクト, シェルズレイ, クロフネ
ユーキャンスマイル, 2015105032, キングカメハメハ, ムードインディゴ, ダンスインザダーク
シュネルマイスター, 2018110007, Kingman, セリエンホルデ, Soldier Hollow
スターズオンアース, 2019104740, ドゥラメンテ, サザンスターズ, Smart Strike
シャフリヤール, 2018105165, ディープインパクト, ドバイマジェスティ, Essence of Dubai
ポタジェ, 2017105376, ディープインパクト, ジンジャーパンチ, Awesome Again
オーソリティ, 2017105649, オルフェーヴル, ロザリンド, シンボリクリスエス
テーオーケインズ, 2017101010, シニスターミニスター, マキシムカフェ, マンハッタンカフェ
ソングライン, 2018105355, キズナ, ルミナスパレード, シンボリクリスエス
サルサディオーネ, 2014109171, ゴールドアリュール, サルサクイーン, リンドシェーバー
サクセスエナジー, 2014100377, キンシャサノキセキ, サクセスアイニー, ジャングルポケット
ナランフレグ, 2016106453, ゴールドアリュール, ケリーズビューティ, ブライアンズタイム
ミツアキサイレンス, 1997105837, エイシンサンディ, ユウコウターナ, ターナボス
カフェファラオ, 2017110151, American Pharoah, Mary's Follies, More Than Ready
サンエムキング, 1992104930, ナグルスキー, サンエムスピード, スティールハート
ネイティヴハート, 1998107227, スターオブコジーン, ポトマックチェリー, ノーザンテースト
メイケイエール, 2018105069, ミッキーアイル, シロインジャー, ハービンジャー
グローリーヴェイズ, 2015104063, ディープインパクト, メジロツボネ, スウェプトオーヴァーボード
ウインマリリン, 2017101431, スクリーンヒーロー, コスモチェーロ, Fusaichi Pegasus
ダイアトニック, 2015103057, ロードカナロア, トゥハーモニー, サンデーサイレンス
ハタノアドニス, 1996100756, アジュディケーティング, グリンパサー, Vice Regent
ヒシイグアス, 2016104877, ハーツクライ, ラリズ, Bernstein
リッカルド, 2011101738, フサイチリシャール, キョウエイハツラツ, オペラハウス
ステイフーリッシュ, 2015104287, ステイゴールド, カウアイレーン, キングカメハメハ
アルクトス, 2015100318, アドマイヤオーラ, ホシニイノリヲ, シンボリクリスエス
ステラヴェローチェ, 2018104980, バゴ, オーマイベイビー, ディープインパクト
ブラウンシャトレー, 1997104918, ナグルスキー, マルカート, ゲイメセン
ダイワキャグニー, 2014105589, キングカメハメハ, トリプレックス, サンデーサイレンス
コアレスハンター, 1997106891, ハイブリッジスルー, フオンドコマンダー, ハイコマンダー
ミューチャリー, 2016100981, パイロ, ゴッドビラブドミー, ブライアンズタイム
アナザートゥルース, 2014104259, アイルハヴアナザー, キョウエイトルース, フジキセキ
ラウダシオン, 2017105072, リアルインパクト, アンティフォナ, Songandaprayer
テイエムサウスダン, 2017103513, サウスヴィグラス, ムービングアウト, Langfuhr
ゴールデンキャスト, 2000107264, タイキシャトル, リターンバンダム, Niniski
オリオンザサンクス, 1996103237, シャンハイ, ミラノコレクション, リヴリア
ハッピースプリント, 2011102947, アッミラーレ, マーゴーン, Dayjur
アローセプテンバー, 1995106904, ダイナガリバー, ハーバーバラード, ダイアトム
カジノフォンテン, 2016104163, カジノドライヴ, ジーナフォンテン, ベストタイアップ
マルブツセカイオー, 1990102178, サウスアトランティック, エイプリルブライド, カジュン
ショウナンナデシコ, 2017100024, オルフェーヴル, ショウナンマオ, ダイワメジャー
サクラハイスピード, 1988104481, トウショウボーイ, スーパービック, ボールドリック
リュウノユキナ, 2015106125, ヴァーミリアン, ネオカラー, クロフネ
ボッケリーニ, 2016104618, キングカメハメハ, ポップコーンジャズ, ダンスインザダーク
アルドラゴン, 2001101529, ブライアンズタイム, ドラゴンティーナ, Danzig
カラジ, 1995190017, Kahyasi, Karamita, Shantung
レッドルゼル, 2016105188, ロードカナロア, フレンチノワール, フレンチデピュティ
サンレイポケット, 2015102735, ジャングルポケット, アドマイヤパンチ, ワイルドラッシュ
アルカセット, 2000190010, Kingmambo, Chesa Plana, Niniski
ゴールドプルーフ, 1995100942, ゴールドレット, サンウーマン, フロリバンダ
アストラエンブレム, 2013106055, ダイワメジャー, ブラックエンブレム, ウォーエンブレム
カガヤキローマン, 1993104907, ブレイヴェストローマン, カネアルコ, ノノアルコ
スマートダンディー, 2014103547, エンパイアメーカー, スマートオーシャン, Mr. Greeley
ナムラビクター, 2009102179, ゼンノロブロイ, ナムラシゲコ, エンドスウィープ
ケンホファヴァルト, 2013106474, マーベラスサンデー, エイシンパンジー, トニービン
トミシノポルンガ, 1989101474, サンオーイ, アメリカンスーパー, フェートメーカー
ジャンダルム, 2015110013, Kitten's Joy, ビリーヴ, サンデーサイレンス
モリユウプリンス, 1989102581, ヤワ, オリーフラワー, ラディガ
バンチャンプ, 1993102938, マラキム, カネアスナロ, バーバー
シグナスヒーロー, 1992107563, イナリワン, スワンスキー, マルゼンスキー
ジャックドール, 2018100274, モーリス, ラヴァリーノ, Unbridled's Song
ブライアンズロマン, 1991103531, ブライアンズタイム, ダイロマン, ブレイヴェストローマン
ソリストサンダー, 2015100902, トビーズコーナー, ラヴソースウィート, スペシャルウィーク
メイショウハリオ, 2017106404, パイロ, メイショウオウヒ, マンハッタンカフェ
ジオグリフ, 2019105056, ドレフォン, アロマティコ, キングカメハメハ
シヴァージ, 2015110102, First Samurai, Indian Bay, Indian Charlie
カデナ, 2014104449, ディープインパクト, フレンチリヴィエラ, フレンチデピュティ
モズベッロ, 2016100915, ディープブリランテ, ハーランズルビー, Harlan's Holiday
ダイメイフジ, 2014102625, アグネスデジタル, ダイメイダーク, ダンスインザダーク
ナイキマドリード, 2006105496, ワイルドラッシュ, スイートテイスト, Salt Lake
タービランス, 2013105053, パイロ, チャームエンジェル, Theatrical
ピクシーナイト, 2018105204, モーリス, ピクシーホロウ, キングヘイロー
タイセイビジョン, 2017105406, タートルボウル, ソムニア, スペシャルウィーク
ベステンダンク, 2012103405, タイキシャトル, ユキノマーメイド, スペシャルウィーク
ジャスティン, 2016102781, オルフェーヴル, シナスタジア, Gone West
オーヴェルニュ, 2016101455, スマートファルコン, ギュイエンヌ, タニノギムレット
アリストテレス, 2017105525, エピファネイア, ブルーダイアモンド, ディープインパクト
ロッキーアピール, 1998110134, Valid Appeal, Dame's Rocket, Timeless Native
グランドシンザン, 1994100552, ミホシンザン, フジタカナイス, ラシアンルーブル
シンキングダンサー, 2013103958, コンデュイット, スプリングボード, アサティス
パンサラッサ, 2017106711, ロードカナロア, ミスペンバリー, モンジュー
ギベオン, 2015104317, ディープインパクト, コンテスティッド, Ghostzapper
ロータスランド, 2017110144, Point of Entry, Little Miss Muffet, Scat Daddy
ケイデンスコール, 2016104414, ロードカナロア, インダクティ, ハーツクライ
ヴェルトライゼンデ, 2017105567, ドリームジャーニー, マンデラ, Acatenango
ダノンスコーピオン, 2019103034, ロードカナロア, レキシールー, Sligo Bay
マサハヤドリーム, 2012104463, メイショウサムソン, ランペイア, アグネスタキオン
カラテ, 2016106606, トゥザグローリー, レディーノパンチ, フレンチデピュティ
ハカタビッグワン, 1995106319, スラヴィック, コスモエフォート, トレボロ
レッドガラン, 2015104417, ロードカナロア, ダンスオンザルーフ, シンボリクリスエス
アサクサゲンキ, 2015110032, Stormy Atlantic, Amelia, Dixieland Band
アカイイト, 2017106203, キズナ, ウアジェト, シンボリクリスエス
プレザント, 1990106120, リファーズゴースト, ケドラ, Welsh Pageant
クレッシェンドラヴ, 2014104386, ステイゴールド, ハイアーラヴ, Sadler's Wells
ボランタス, 2004103277, ティンバーカントリー, ブライダルスイート, サンデーサイレンス
カテドラル, 2016104711, ハーツクライ, アビラ, ロックオブジブラルタル
マイネルウィルトス, 2016100752, スクリーンヒーロー, マイネボヌール, ロージズインメイ
ヒートオンビート, 2017104936, キングカメハメハ, マルセリーナ, ディープインパクト
ユーバーレーベン, 2018102167, ゴールドシップ, マイネテレジア, ロージズインメイ
マテラスカイ, 2014110060, Speightstown, Mostaqeleh, Rahy
ウインキートス, 2017101419, ゴールドシップ, イクスキューズ, ボストンハーバー
マイネルファンロン, 2015100744, ステイゴールド, マイネテレジア, ロージズインメイ
ファルコニア, 2017104719, ディープインパクト, カンビーナ, Hawk Wing
ラヴァリーフリッグ, 1999104390, マーベラスサンデー, ユウワプリティー, Naevus
イクイノックス, 2019105219, キタサンブラック, シャトーブランシュ, キングヘイロー
ロワジャルダン, 2011104144, キングカメハメハ, アグネスショコラ, サンデーサイレンス
グレナディアガーズ, 2018104934, Frankel, ウェイヴェルアベニュー, Harlington
ヒカリルーファス, 1992100420, ノーリュート, ニレザクラ, マルゼンスキー
ブルベアイリーデ, 2016102633, キンシャサノキセキ, シルクシンフォニー, ストーミングホーム
トーラスジェミニ, 2016106518, キングズベスト, エリモエトワール, マンハッタンカフェ
ハヤヤッコ, 2016104624, キングカメハメハ, マシュマロ, クロフネ
ヒロシゲゴールド, 2015102403, サウスヴィグラス, エフテーストライク, ブラックタキシード
