race_id,goal_order, start_number, horse_name, horse_age, weight,jockey_id,hourse_weight,weight_change,single_odds,multi_odds
2.02203E+11,1,6,バルンストック,5,57,1196,474,-10,3.8,1.7
2.02203E+11,2,10,アポロファントム,5,60,727,452,-4,18.9,6
2.02203E+11,3,8,ドラウプニル,6,60,1149,488,8,4.7,1.85
2.02203E+11,4,2,ブラックジャッカル,4,60,1101,462,0,19.1,5
2.02203E+11,5,12,カツジ,7,60,1035,492,-14,10,4.15
2.02203E+11,6,4,プレイヤーサムソン,9,60,1023,470,-20,39.1,6.65
2.02203E+11,7,5,アイファーチーター,4,60,1068,466,0,198.7,50.95
2.02203E+11,8,7,マイネルグロース,4,60,1123,460,-8,20.1,6.3
2.02203E+11,9,9,ヴィクトリーレーン,5,60,1059,450,-22,21.1,5.75
2.02203E+11,10,1,ピュアヒカリ,6,60,1120,450,-2,11.1,3.1
2.02203E+11,11,3,マイネルバッカーノ,6,60,1061,498,-8,82,20.8
2.02203E+11,1,13,ラートリー,3,54,1075,438,-4,2.1,1.2
2.02203E+11,2,12,キットクル,3,54,1153,444,-12,11.8,3.1
2.02203E+11,3,10,イモータルフェイム,3,54,1179,454,-12,4.3,1.7
2.02203E+11,4,3,リーディングラン,3,54,733,468,-10,63.1,10.5
2.02203E+11,5,6,ソニンクヴァース,3,54,1169,484,-8,9.6,2.55
2.02203E+11,6,8,エメラルセシリア,3,52,1188,420,-14,8.6,2.5
2.02203E+11,7,5,ヨーコマイラヴ,3,54,1162,456,-12,195.7,28.05
2.02203E+11,8,11,ニケテア,3,51,1197,446,-4,90.3,13.8
2.02203E+11,9,15,ネイチャーミヤビ,3,52,1164,498,-12,12,3.1
2.02203E+11,10,9,キタノズーナクア,3,54,689,448,-6,28.8,7.75
2.02203E+11,11,4,ファディッシュ,3,54,1077,434,-2,64.5,11.3
2.02203E+11,12,1,ソメット,3,51,1183,416,12,103.5,21.1
2.02203E+11,13,7,マイスイートハート,3,54,1117,494,-6,30.8,5.7
2.02203E+11,14,2,カハラオプナ,3,54,1092,490,-6,65.8,13.95
2.02203E+11,15,14,マリノヴィーナス,3,51,1184,460,0,45.6,10.6
2.02203E+11,1,8,サラフィエル,3,56,1161,436,2,2.1,1.25
2.02203E+11,2,5,ヤサカシュエット,3,54,1169,472,2,38.8,8.05
2.02203E+11,3,14,クロシェノワール,3,51,1184,500,16,16.3,4.4
2.02203E+11,4,13,サンマルディライト,3,56,5386,456,0,5.6,1.75
2.02203E+11,5,1,サイモンソーラン,3,56,733,474,-6,15.3,3.3
2.02203E+11,6,10,ジャスティンダイヤ,3,54,1188,490,0,23.2,5.8
2.02203E+11,7,9,キタノポーションズ,3,54,1029,402,-8,155.8,16.4
2.02203E+11,8,15,ウェルシュゴールド,3,54,1009,474,6,123.1,18.95
2.02203E+11,9,12,チュラーダ,3,54,5212,400,2,21.8,5.3
2.02203E+11,10,2,ローゼンヴォルフ,3,56,1158,508,-8,76.1,17.4
2.02203E+11,11,7,ガンガディン,3,56,1179,466,6,14.6,3
2.02203E+11,12,4,アオイトランプ,3,56,1162,470,4,179.2,40.9
2.02203E+11,13,11,ブレスク,3,56,422,510,-12,26.6,5.4
2.02203E+11,14,6,フィアーミー,3,56,1143,506,0,228.6,54.4
2.02203E+11,15,3,マサノカヴァリエ,3,56,1122,486,10,4.3,1.9
2.02203E+11,1,10,ナギサ,4,58,1139,496,0,5.9,2.1
2.02203E+11,2,5,マイネルパラディ,8,60,1067,464,-20,15.2,4
2.02203E+11,3,9,リバーシブルレーン,6,60,1059,438,-8,8.6,2.4
2.02203E+11,4,6,ショウナンサルヴォ,4,60,1035,500,-12,7.6,2.4
2.02203E+11,5,2,ドリームソルジャー,8,60,727,488,-2,2.6,1.5
2.02203E+11,6,7,フィードバック,6,60,1113,490,-6,38.3,7.85
2.02203E+11,7,11,テイエムコンドル,11,60,1149,460,-8,13.6,3.5
2.02203E+11,8,1,クライムメジャー,8,60,1063,520,-6,17.1,4.95
2.02203E+11,9,4,パリカラノテガミ,11,62,1120,446,-16,17,4.45
2.02203E+11,10,3,ポルタフォリオ,4,60,1066,496,-2,152.6,31.55
2.02203E+11,11,12,メイショウギガース,8,60,1101,472,-16,74.1,17.35
2.02203E+11,12,8,アルトリウス,8,60,1068,466,-6,113.7,16.95
2.02203E+11,13,13,スズカメジャー,8,60,691,510,-6,6.7,2.3
2.02203E+11,1,13,ナックブレイブ,2,54,1162,470,0,12.7,2.95
2.02203E+11,2,4,ブーケファロス,2,52,1188,426,0,23.8,4.55
2.02203E+11,3,2,シナロアテソーロ,2,54,5386,442,0,7.5,1.95
2.02203E+11,4,7,キタウイング,2,54,1135,432,0,38.5,7.1
2.02203E+11,5,10,ストリートジャガー,2,54,1150,482,0,24.2,4.55
2.02203E+11,6,8,ビルカール,2,54,641,454,0,52,9.7
2.02203E+11,7,6,グラスヴィガー,2,54,1092,460,0,1.9,1.2
2.02203E+11,8,5,サンセットベリー,2,51,1184,438,0,138.4,32.5
2.02203E+11,9,15,ネバレチュゴー,2,54,1085,502,0,71,10.95
2.02203E+11,10,11,ニシノメラーキ,2,54,422,428,0,75.1,11.55
2.02203E+11,11,12,クリイロ,2,54,1122,394,0,5.5,1.9
2.02203E+11,12,9,リュウノステルス,2,54,1179,426,0,11.7,2.65
2.02203E+11,13,1,テイエムリオンディ,2,54,1029,490,0,127.6,26
2.02203E+11,14,14,シェイクオンイット,2,54,1161,466,0,174.2,31.45
2.02203E+11,15,3,ハスノミ,2,51,1183,424,0,184.4,35
2.02203E+11,1,9,バグラダス,2,54,5386,468,0,2.3,1.3
2.02203E+11,2,4,トモジャミ,2,54,1092,498,0,7.5,2.05
