race_id,goal_order, start_number, horse_name, horse_age, weight,jockey_id,single_odds,hourse_weight,weight_change
202203020403,1,1,マテンロウボイス,3,52.0,01188,28.5,452,-4,10.8
202203020403,2,15,デアリングヒューズ,3,54.0,05386,1.4,480,+6,1.1
202203020403,3,3,オフレッシュ,3,56.0,01075,5.8,516,-2,3.1
202203020403,4,6,ラブシックボッサ,3,56.0,01117,10.2,458,-2,5.75
202203020403,5,5,ミラーレイク,3,51.0,01184,19.4,434,-10,7.25
202203020403,6,7,シークレットグロウ,3,56.0,01118,35.2,440,-4,12.299999999999999
202203020403,7,12,ペイシャワキア,3,56.0,01029,15.2,430,-4,6.0
202203020403,8,9,ブランデウェイン,3,56.0,01135,308.5,470,-6,151.1
202203020403,9,4,ジュンツーポイント,3,53.0,01175,180.1,488,+6,87.3
202203020403,10,11,ヴァンクールシチー,3,56.0,01169,51.3,424,-2,13.35
202203020403,11,10,ムジョウ,3,56.0,01009,102.7,510,+2,34.4
202203020403,12,16,ロイズピーク,3,56.0,00689,23.7,480,+2,8.9
202203020403,13,2,タッカーステート,3,56.0,01092,54.2,442,-8,18.7
202203020403,14,14,アーリオオーリオ,3,52.0,01164,181.2,446,-2,82.39999999999999
202203020403,15,13,イデアノアイデア,3,54.0,01143,501.6,354,-8,286.15
202203020404,1,2,サミュエル,3,54.0,01161,13.5,460,-12,3.75
202203020404,2,14,ライヴトパーズ,3,54.0,01162,18.2,408,+4,5.55
202203020404,3,8,マジョリー,3,54.0,01075,33.1,426,0,8.8
202203020404,4,3,サバイバルアート,3,54.0,01009,18.8,414,-6,5.15
202203020404,5,1,ウインエイムハイ,3,56.0,01085,1.8,476,0,1.1
202203020404,6,9,ヤマニンフェリクス,3,56.0,01135,16.7,444,+4,5.1
202203020404,7,7,ディージェーサン,3,51.0,01184,4.3,404,0,2.2
202203020404,8,16,ツキニホエル,3,53.0,01183,67.0,422,0,12.100000000000001
202203020404,9,13,アティトラン,3,54.0,01179,31.5,448,+18,7.7
202203020404,10,12,テイエムナイスラン,3,56.0,01117,37.0,526,+10,11.649999999999999
202203020404,11,11,ダニエラハニー,3,54.0,05386,11.4,466,-4,4.0
202203020404,12,10,プリマグランツ,3,52.0,01164,91.1,446,0,24.15
202203020404,13,5,イノセントソレル,3,56.0,01153,393.3,502,-8,97.4
202203020404,14,4,ハルノヒ,3,54.0,00689,245.1,438,0,50.75
202203020404,15,6,ベルマリエ,3,52.0,01188,51.8,440,+10,16.5
202203020404,16,15,グレートイースタン,3,49.0,01197,295.3,458,-10,42.5
202203020405,1,4,ナチュラルハイ,2,52.0,01188,3.4,458,0,1.6
202203020405,2,7,サイブレーカー,2,54.0,01179,4.6,418,0,1.85
202203020405,3,10,フジブルーダイヤ,2,54.0,01092,25.0,438,0,6.35
202203020405,4,8,ステキナココロ,2,54.0,01085,41.1,474,0,8.4
202203020405,5,2,キタノチャリブル,2,51.0,01184,9.7,444,0,2.5
202203020405,6,9,ファンネルマーク,2,54.0,00422,5.1,528,0,1.85
202203020405,7,6,マイバラード,2,54.0,01009,5.1,442,0,1.9500000000000002
202203020405,8,5,シンフォニー,2,54.0,01117,53.0,456,0,11.350000000000001
202203020405,9,1,ライヴマスタード,2,54.0,01162,64.1,500,0,10.6
202203020405,10,3,ロケッツアン,2,54.0,01032,12.0,478,0,2.1
202203020406,1,5,モンサンスヴニール,2,54.0,01162,4.0,452,0,1.55
202203020406,2,9,ハルオーブ,2,54.0,01122,6.5,448,0,1.85
202203020406,3,6,サトノミネルヴァ,2,54.0,01179,2.4,456,0,1.35
202203020406,4,7,ノーブルトラップ,2,54.0,05386,5.9,446,0,1.75
202203020406,5,4,ロゴマジック,2,54.0,01077,77.9,420,0,14.4
202203020406,6,2,マホロバ,2,54.0,01032,9.9,520,0,2.7
202203020406,7,1,サイタブラウン,2,54.0,00422,59.0,446,0,10.7
202203020406,8,3,ロッカバラード,2,52.0,01188,17.2,456,0,3.25
202203020406,9,8,イブシギン,2,54.0,01135,35.1,426,0,4.9
202203020407,1,11,プリンスミノル,3,56.0,01075,1.8,452,+2,1.25
202203020407,2,8,メイリトルラバー,3,54.0,01169,22.7,468,-2,3.45
202203020407,3,14,アオカミ,3,56.0,00641,6.0,460,-2,1.75
202203020407,4,12,グランシャーク,3,56.0,01161,26.9,496,-6,4.85
202203020407,5,2,ノアペルーサ,3,54.0,01188,22.3,498,-8,3.8499999999999996
202203020407,6,6,ワーキングスタイル,3,54.0,05386,6.2,438,-8,1.95
202203020407,7,15,ヒイラギ,3,54.0,01158,304.7,470,+6,47.35
202203020407,8,5,マックロイド,3,54.0,01108,239.2,462,0,36.55
202203020407,9,4,オンマガトオル,3,54.0,00689,13.9,530,0,4.35
202203020407,10,10,ラインオンザトップ,3,56.0,01029,148.4,442,-2,22.6
202203020407,11,1,ピンクコーラル,3,54.0,01117,167.7,440,0,18.95
202203020407,12,9,ヘールボップ,3,56.0,01118,16.6,496,+2,4.55
202203020407,13,3,ロマンバローズ,3,53.0,01201,430.2,504,0,88.8
202203020407,14,7,マイネルグローリエ,3,56.0,05212,9.2,508,+8,2.95
202203020407,15,13,テネリフェ,3,56.0,00422,208.4,498,0,42.65
202203020408,1,6,トランシルヴァニア,5,57.0,05386,8.3,492,-2,2.7
202203020408,2,9,ノーエクスキューズ,5,57.0,01032,21.4,498,-8,5.1
202203020408,3,11,アップストローク,3,54.0,05212,3.1,444,-12,1.6
202203020408,4,2,デコラシオン,3,54.0,01179,7.2,498,0,2.2
202203020408,5,1,ウインメイユール,4,52.0,01184,78.1,424,+2,16.45
202203020408,6,8,ロングボウマン,4,57.0,01077,23.9,480,+8,5.9
202203020408,7,7,ザスリーサーティ,7,57.0,01162,14.6,480,+4,4.15
202203020408,8,3,ラッシュアップ,5,57.0,01075,12.2,530,-4,4.35
202203020408,9,10,マイネルパリオート,4,57.0,01009,26.3,456,-10,6.300000000000001
202203020408,10,15,ケッツァー,3,54.0,01092,78.7,480,-8,14.399999999999999
202203020408,11,5,ミツカネムーン,3,50.0,01188,3.6,428,+2,1.6
202203020408,12,13,トロワエスポワール,4,57.0,01122,17.4,456,+2,3.35
202203020408,13,16,アメジストヴェイグ,6,57.0,01161,117.9,502,+2,15.5
202203020408,14,12,フェスティヴボス,3,54.0,01158,43.6,472,-6,8.1
202203020408,15,14,ラインスプラッシュ,4,57.0,01151,355.0,450,+2,74.3
202203020408,16,4,アイファーブラック,5,55.0,01164,245.6,442,+4,47.95
202203020409,1,11,エリオトローピオ,3,52.0,05386,3.4,408,+6,1.7
202203020409,2,13,ロムネヤ,3,52.0,01122,3.4,418,0,1.5
202203020409,3,8,サイモンベラーノ,5,55.0,01158,156.3,474,+2,23.55
202203020409,4,16,インフィニタス,4,55.0,01085,37.6,468,+10,10.35
202203020409,5,4,ロジレット,3,52.0,01179,14.4,442,-6,3.7
202203020409,6,2,スウィートブルーム,4,55.0,01009,11.5,434,+6,3.55
202203020409,7,6,クーファイザナミ,5,55.0,00684,56.3,418,-6,10.4
202203020409,8,15,エコルフリューゲル,3,52.0,00422,19.5,456,-4,4.85
202203020409,9,3,アルコディオーサ,4,55.0,01153,104.9,464,-6,18.549999999999997
202203020409,10,9,ロッタチャンセズ,5,55.0,05212,33.2,402,0,7.6000000000000005
202203020409,11,7,ヤマニンパニータ,3,52.0,00689,5.3,440,0,1.95
202203020409,12,10,フミチャン,4,55.0,00641,110.9,488,0,20.25
202203020409,13,12,シャドウエリス,4,55.0,01032,10.5,454,+2,2.6500000000000004
202203020409,14,14,ピナ,4,55.0,01117,56.7,482,-6,11.85
202203020409,15,5,インプレストサマー,4,55.0,01161,330.5,434,-4,70.80000000000001
202203020409,16,1,ロックオンエイム,4,55.0,01188,16.2,460,-6,4.75
202203020410,1,7,エマージングロール,4,57.0,01075,3.0,498,+2,1.6
202203020410,2,13,ペイシャキュウ,6,55.0,05386,8.4,442,+6,2.3
202203020410,3,3,ショウナンマリオ,5,57.0,05212,5.7,492,-2,2.05
202203020410,4,4,オンザライン,4,57.0,01179,2.9,448,-4,1.35
202203020410,5,8,タイガーサイレンス,5,57.0,00684,46.5,454,-6,8.45
202203020410,6,10,アメリカンファクト,7,57.0,01032,65.7,504,-4,13.5
202203020410,7,5,タマモパッション,5,55.0,01092,12.9,504,-8,3.0999999999999996
202203020410,8,2,グラスブルース,8,57.0,01162,106.2,508,-4,13.05
202203020410,9,6,ブライトンロック,8,57.0,01117,29.5,470,+2,6.199999999999999
202203020410,10,12,キタノリューオー,4,57.0,01122,8.9,468,+6,2.55
202203020410,11,11,リーピングリーズン,6,55.0,00422,100.2,510,-2,12.35
202203020410,12,9,ロジティナ,7,57.0,01188,257.6,542,0,41.15
202203020410,13,1,サンライズセナ,7,57.0,01164,136.6,494,+4,23.2
202203020411,1,16,エヒト,5,54.0,00684,16.2,464,0,4.2
202203020411,2,6,ヒートオンビート,5,57.0,01032,3.3,476,-2,1.65
202203020411,3,11,アンティシペイト,5,56.5,01169,4.2,496,-4,1.85
202203020411,4,4,エヴァーガーデン,5,52.0,01085,51.9,484,+2,9.850000000000001
202203020411,5,3,ヒュミドール,6,56.0,05212,6.6,472,+6,2.45
202203020411,6,15,ヴァンケドミンゴ,6,56.0,01092,31.1,470,-8,6.2
202203020411,7,12,モズナガレボシ,5,55.0,05386,10.2,492,-2,3.4
202203020411,8,10,ヤマニンデンファレ,4,50.0,00689,15.0,482,-4,4.45
202203020411,9,13,プリマヴィスタ,5,53.0,00422,16.8,476,-6,4.15
